Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Feb-73,0.0023,0.0014,-0.0075,0.0042,0.0113,0.0695,0.0867,0.8783,0.084,0.0138,0.2879,-0.0212,-0.0352,-0.0799
Mar-73,0.0045,0.0082,0.0046,0.0046,-0.0015,0.028,0.0556,-0.2101,0.0026,-0.0012,0.0588,0.0023,0.0008,-0.0208
Apr-73,0.0061,0.0046,0.0064,0.0052,-0.0628,0.0052,-0.0529,-0.4217,-0.1108,0.0117,0.008,-0.0429,-0.0383,-0.0621
May-73,-0.0039,-0.0105,0.0057,0.0051,0.0834,0.0144,-0.059,0.0207,0.0258,0.0312,0.2649,-0.0389,-0.0163,-0.0811
Jun-73,-0.0056,-0.0021,-0.0006,0.0051,-0.0243,0.0383,0.1111,-0.1517,0.0176,-0.0047,0.0741,0.0208,-0.0040,-0.0290
Jul-73,-0.0476,-0.0433,-0.0276,0.0064,0.0189,-0.0534,-0.035,0.1064,0.0606,-0.0736,-0.0621,0.0555,0.0407,0.1194
Aug-73,0.0356,0.0391,0.0254,0.007,-0.1095,-0.0424,-0.0351,-0.142,-0.0474,-0.0554,-0.1047,-0.0024,-0.0341,-0.0445
Sep-73,0.0356,0.0318,0.025,0.0068,-0.0311,0.0211,0.004,-0.1023,-0.0539,0.0157,-0.0338,0.0335,0.0427,0.1064
Oct-73,-0.0066,0.0215,0.005,0.0065,0.0586,0.0262,0.0589,0.1542,-0.0051,0.0355,-0.02,0.0742,0.0017,0.0084
Nov-73,0.0078,-0.0183,0.0064,0.0056,-0.0852,-0.1514,-0.1704,-0.1515,-0.1375,-0.149,0.0306,-0.0963,-0.1109,-0.1962
Dec-73,-0.0089,-0.0082,0.004,0.0064,-0.0118,-0.0318,-0.0467,-0.163,-0.0552,-0.0547,0.1114,-0.0076,0.0198,-0.0014
Jan-74,-0.0053,-0.0083,0.0009,0.0063,0.1311,-0.0016,0.0489,0.0561,-0.0055,-0.0423,0.1804,0.0317,-0.0072,0.1326
Feb-74,0.0009,-0.0024,0.0035,0.0058,0.0924,0.0308,-0.0303,-0.1493,0.0406,0.0694,0.2264,0.0389,-0.0007,-0.0085
Mar-74,-0.0307,-0.0292,-0.0212,0.0056,-0.0618,-0.0407,0.0551,-0.1144,0.0169,-0.1604,0.0646,-0.0231,-0.0205,-0.0074
Apr-74,-0.0341,-0.0253,-0.0152,0.0075,-0.0373,0.0429,0.0793,-0.1001,0.0149,0.0805,-0.0217,-0.071,-0.0359,-0.0464
May-74,0.0105,0.0123,0.013,0.0075,-0.1458,-0.0777,-0.0614,0.3193,0.036,-0.1016,-0.0739,-0.0773,-0.0302,-0.0793
Jun-74,-0.0285,0.0045,-0.0087,0.006,-0.0608,-0.0517,-0.0351,-0.0018,-0.0353,-0.0951,-0.0797,-0.0344,-0.0113,-0.0147
Jul-74,-0.0211,-0.0029,0.0007,0.007,-0.1564,-0.0109,-0.0202,-0.1581,-0.0995,-0.0637,0.0815,0.0164,-0.0742,-0.0219
Aug-74,-0.0268,-0.0232,-0.0012,0.006,-0.0196,-0.1031,-0.0218,-0.2252,-0.1101,-0.1458,0,-0.0981,-0.0864,-0.0681
Sep-74,0.0174,0.0247,0.0319,0.0081,-0.2936,-0.0972,-0.0445,-0.1805,0.0108,-0.1172,-0.0304,-0.1018,-0.1152,-0.0653
Oct-74,0.0885,0.0489,0.0109,0.0051,0.2528,0.044,0.0584,0.0678,-0.0834,0.0371,0.1041,0.1096,0.1681,0.1063
Nov-74,0.0117,0.0296,0.0236,0.0054,0.0411,0.0013,0.0954,-0.2015,0.1037,-0.1532,0.1018,-0.0859,-0.0488,-0.0438
Dec-74,-0.0075,0.0171,0.0185,0.007,-0.0396,0.0072,0.0402,-0.0023,-0.0407,0.0229,0.0136,0.0068,-0.0156,-0.0788
Jan-75,0.0596,0.0225,0.0053,0.0058,0.2302,0.2348,0.1292,0.3453,0.0504,0.5605,-0.0574,0.1558,0.1272,0.2767
Feb-75,0.0137,0.0131,0.0148,0.0043,0.0187,0.1315,0.1354,0.1442,0.1458,0.2667,0.0338,0.0273,0.0638,0.0285
Mar-75,-0.0247,-0.0267,-0.0059,0.0041,-0.0187,-0.0314,-0.0123,0.0575,0.0249,-0.0832,-0.0248,-0.0285,0.0254,0.0618
Apr-75,-0.0052,-0.0182,-0.0186,0.0044,-0.0171,0.0717,0.0182,0.1309,0.0025,0.1548,-0.0578,0.0151,0.0510,0.0531
May-75,0.0106,0.0212,0.026,0.0044,0.1021,-0.0156,-0.0589,-0.0069,-0.005,0.0332,0,0.021,0.0477,0.0663
Jun-75,0.0304,0.0292,0.0027,0.0041,-0.0288,-0.0639,0.0041,0.0038,0.011,-0.1562,-0.0045,0.0251,0.0477,0.0750
Jul-75,-0.003,-0.0087,-0.003,0.0048,-0.02,-0.0379,-0.0058,-0.063,-0.051,-0.0456,0.0027,-0.0082,-0.0644,-0.0254
Aug-75,-0.0175,-0.0068,-0.0009,0.0048,-0.0347,0.0214,-0.0495,-0.0197,-0.0444,0.1298,-0.0414,-0.0086,-0.0176,-0.0574
Sep-75,-0.0126,-0.0098,0.001,0.0053,0.0679,-0.0492,-0.0441,0.0272,-0.0633,-0.0138,-0.1161,-0.0488,-0.0312,-0.0182
Oct-75,0.0553,0.0475,0.0366,0.0056,0.0292,0.0805,0.1277,0.0253,0.1077,0.0584,0.0117,-0.0433,0.0653,-0.0050
Nov-75,-0.0088,-0.0109,-0.001,0.0041,0.0683,0.0262,0.0242,0.0644,0.0085,-0.0185,-0.0332,0.0806,0.0282,0.0320
Dec-75,0.0442,0.039,0.0198,0.0048,0.0311,0.0215,0.0125,0.1097,0.0112,0.0471,0.0152,-0.0342,-0.0081,-0.0197
Jan-76,0.0188,0.009,0.0057,0.0047,0.0172,0.0436,0.0225,0.2004,0.0615,0.0981,-0.0863,0.1086,0.1217,0.2684
Feb-76,0.0061,0.0062,0.0084,0.0034,0.0166,-0.0196,0.0169,0.0697,0.0069,-0.0326,0.0324,0.0542,-0.0084,0.1390
